id,users_id,balance,interest_rate,due_date,payment_due,loan_type,monthly_payment,active,approved,confirmed
1,1,-335594.87,0.07270,"2021-10-25 00:00:00",12809.31,Morgage,12198.74,0,1,1
2,47,-396132.92,0.07414,"2021-10-26 00:00:00",15467.79,Student,14685.09,0,0,1
3,51,-82238.93,0.04978,"2021-10-16 00:00:00",2401.63,Morgage,2046.80,0,0,1
4,29,-108161.16,0.06691,"2021-10-23 00:00:00",3901.23,Morgage,3618.70,1,1,1
5,7,-35216.89,0.07958,"2021-10-26 00:00:00",1549.69,Student,1401.23,0,0,0
6,28,-71771.13,0.06316,"2021-10-28 00:00:00",2706.39,Auto,2266.62,0,0,1
7,3,-2688.66,0.06124,"2021-10-13 00:00:00",92.85,Student,82.33,1,1,1
8,60,-72661.73,0.04589,"2021-10-21 00:00:00",1900.68,Morgage,1667.35,1,1,1
9,47,-278613.16,0.04615,"2021-10-27 00:00:00",6695.40,Morgage,6429.18,1,1,1
10,49,-502.54,0.04175,"2021-11-03 00:00:00",12.27,Student,10.49,1,1,1
11,25,-357701.91,0.03578,"2021-10-13 00:00:00",7268.94,Morgage,6399.68,0,0,0
12,52,-189685.78,0.03809,"2021-11-06 00:00:00",4290.07,Morgage,3612.95,1,1,1
13,56,-80290.18,0.04087,"2021-10-10 00:00:00",1662.94,Student,1640.77,1,1,1
14,3,-8403.41,0.05778,"2021-10-19 00:00:00",258.57,Auto,242.80,1,1,1
15,19,-93360.39,0.05052,"2021-10-23 00:00:00",2736.68,Student,2358.18,1,1,1
16,46,-243610.22,0.05920,"2021-10-31 00:00:00",8645.84,Auto,7210.79,0,0,0
17,50,-305336.12,0.03530,"2021-10-26 00:00:00",5731.80,Morgage,5389.88,1,1,1
18,56,-53990.30,0.06325,"2021-10-18 00:00:00",2026.68,Morgage,1707.36,0,0,1
19,48,-212845.65,0.07963,"2021-10-25 00:00:00",9088.06,Student,8474.85,1,1,1
20,43,-10359.86,0.03605,"2021-10-21 00:00:00",222.35,Student,186.75,1,1,1
21,38,-156963.67,0.05531,"2021-11-03 00:00:00",4938.30,Student,4340.52,0,1,1
22,8,-368647.56,0.07824,"2021-10-30 00:00:00",14445.95,Morgage,14421.21,0,0,0
23,29,-246470.08,0.06768,"2021-10-28 00:00:00",9456.30,Morgage,8340.95,1,1,1
24,49,-216374.79,0.03024,"2021-11-05 00:00:00",3855.28,Morgage,3271.96,1,1,1
25,32,-263757.67,0.03720,"2021-10-16 00:00:00",5246.52,Auto,4905.89,1,1,1
26,59,-47525.66,0.04979,"2021-10-18 00:00:00",1377.36,Student,1183.13,1,1,1
27,9,-266613.41,0.06684,"2021-10-18 00:00:00",8974.59,Morgage,8909.79,0,1,1
28,24,-366873.04,0.03604,"2021-10-18 00:00:00",7596.90,Auto,6610.27,0,0,0
29,37,-45902.55,0.04567,"2021-10-12 00:00:00",1223.55,Morgage,1048.23,1,1,1
30,46,-359899.44,0.05865,"2021-10-17 00:00:00",12487.41,Morgage,10553.82,0,1,1
31,53,-100711.70,0.06498,"2021-10-18 00:00:00",3879.95,Morgage,3272.23,0,1,1
32,18,-321588.84,0.07003,"2021-11-05 00:00:00",11284.02,Student,11260.30,0,1,1
33,25,-385991.32,0.06194,"2021-10-22 00:00:00",13929.87,Student,11953.32,1,1,1
34,38,-255884.17,0.03063,"2021-10-23 00:00:00",4183.74,Morgage,3918.34,0,0,0
35,8,-374851.69,0.05854,"2021-10-12 00:00:00",11889.56,Auto,10971.43,1,1,1
36,17,-77461.57,0.05070,"2021-10-23 00:00:00",2134.42,Auto,1963.66,1,1,1
37,2,-134951.52,0.04209,"2021-10-14 00:00:00",3207.53,Auto,2840.36,1,1,1
38,26,-203277.37,0.04818,"2021-10-09 00:00:00",5360.86,Student,4896.68,1,1,1
39,60,-124318.91,0.06583,"2021-10-13 00:00:00",4559.28,Morgage,4092.18,0,0,1
40,57,-52741.29,0.04433,"2021-10-21 00:00:00",1189.31,Auto,1169.08,0,1,1
41,23,-179532.19,0.06985,"2021-10-21 00:00:00",7246.37,Student,6270.28,0,0,0
42,22,-116042.05,0.05028,"2021-10-11 00:00:00",3365.45,Auto,2917.20,0,0,0
43,12,-252286.16,0.06811,"2021-10-19 00:00:00",8759.76,Student,8591.10,1,1,1
44,5,-225730.25,0.07014,"2021-10-22 00:00:00",9078.13,Auto,7916.49,0,0,1
45,18,-263929.13,0.06992,"2021-10-20 00:00:00",10081.60,Morgage,9227.37,0,1,1
46,32,-105492.12,0.07575,"2021-10-11 00:00:00",4326.54,Morgage,3995.50,1,1,1
47,1,-177917.30,0.07224,"2021-10-26 00:00:00",7526.76,Morgage,6426.58,0,0,0
48,31,-374485.02,0.06514,"2021-10-28 00:00:00",13072.67,Student,12197.11,0,0,0
49,3,-32919.62,0.07879,"2021-10-16 00:00:00",1336.20,Auto,1296.95,0,0,0
50,47,-42613.52,0.04828,"2021-10-11 00:00:00",1125.19,Student,1028.66,1,1,1
