id,loan_id,account_id,amount,time_stamp,status
1,142,3,592.68,"2021-10-12 15:20:05",0
2,163,79,1308.78,"2021-10-12 15:20:05",0
3,243,52,1196.97,"2021-10-12 15:20:05",0
4,203,77,595.20,"2021-10-12 15:20:05",0
5,88,79,662.15,"2021-10-12 15:20:05",0
6,293,20,1391.78,"2021-10-12 15:20:05",0
7,240,82,605.02,"2021-10-12 15:20:05",0
8,20,78,25.80,"2021-10-12 15:20:05",0
9,106,83,1172.67,"2021-10-12 15:20:05",0
10,241,33,1216.41,"2021-10-12 15:20:05",0
11,263,36,104.83,"2021-10-12 15:20:05",0
12,7,79,692.90,"2021-10-12 15:20:05",0
13,37,74,1418.16,"2021-10-12 15:20:05",0
14,298,23,621.23,"2021-10-12 15:20:05",0
15,172,72,191.15,"2021-10-12 15:20:05",0
16,22,65,1441.90,"2021-10-12 15:20:05",0
17,280,94,1679.65,"2021-10-12 15:20:05",0
18,296,86,418.57,"2021-10-12 15:20:05",0
19,169,78,1196.04,"2021-10-12 15:20:05",0
20,64,63,203.19,"2021-10-12 15:20:05",0
21,31,2,1557.21,"2021-10-12 15:20:05",0
22,191,45,1121.83,"2021-10-12 15:20:05",0
23,145,86,1753.96,"2021-10-12 15:20:05",0
24,237,41,1542.57,"2021-10-12 15:20:05",0
25,239,60,807.22,"2021-10-12 15:20:05",0
26,230,16,538.60,"2021-10-12 15:20:05",0
27,260,77,1240.72,"2021-10-12 15:20:05",0
28,29,90,1600.95,"2021-10-12 15:20:05",0
29,84,63,1037.50,"2021-10-12 15:20:05",0
30,20,11,1566.54,"2021-10-12 15:20:05",0
31,43,16,1251.95,"2021-10-12 15:20:05",0
32,235,87,1234.25,"2021-10-12 15:20:05",0
33,45,7,456.92,"2021-10-12 15:20:05",0
34,70,83,938.66,"2021-10-12 15:20:05",0
35,44,46,782.94,"2021-10-12 15:20:05",0
36,169,95,198.31,"2021-10-12 15:20:05",0
37,82,90,1580.38,"2021-10-12 15:20:05",0
38,30,7,300.03,"2021-10-12 15:20:05",0
39,24,65,1604.72,"2021-10-12 15:20:05",0
40,217,71,1884.25,"2021-10-12 15:20:05",0
41,170,10,1595.84,"2021-10-12 15:20:05",0
42,134,11,90.85,"2021-10-12 15:20:05",0
43,298,67,908.31,"2021-10-12 15:20:05",0
44,139,40,989.43,"2021-10-12 15:20:05",0
45,269,40,1902.82,"2021-10-12 15:20:05",0
46,31,9,17.20,"2021-10-12 15:20:05",0
47,81,22,1029.62,"2021-10-12 15:20:05",0
48,96,73,1725.97,"2021-10-12 15:20:05",0
49,237,8,1880.96,"2021-10-12 15:20:05",0
50,260,93,39.60,"2021-10-12 15:20:05",0
51,85,76,991.62,"2021-10-12 15:20:05",0
52,193,12,759.18,"2021-10-12 15:20:05",0
53,50,71,939.71,"2021-10-12 15:20:05",0
54,116,30,1908.25,"2021-10-12 15:20:05",0
55,64,50,1434.30,"2021-10-12 15:20:05",0
56,112,96,754.93,"2021-10-12 15:20:05",0
57,146,76,750.28,"2021-10-12 15:20:05",0
58,168,36,200.76,"2021-10-12 15:20:05",0
59,183,24,720.42,"2021-10-12 15:20:05",0
60,53,53,957.22,"2021-10-12 15:20:05",0
61,235,38,531.91,"2021-10-12 15:20:05",0
62,220,41,1067.32,"2021-10-12 15:20:05",0
63,238,95,1649.27,"2021-10-12 15:20:05",0
64,283,88,446.25,"2021-10-12 15:20:05",0
65,267,76,429.19,"2021-10-12 15:20:05",0
66,121,60,1545.05,"2021-10-12 15:20:05",0
67,136,80,633.05,"2021-10-12 15:20:05",0
68,56,41,914.66,"2021-10-12 15:20:05",0
69,150,84,322.43,"2021-10-12 15:20:05",0
70,106,24,963.88,"2021-10-12 15:20:05",0
71,269,39,1511.26,"2021-10-12 15:20:05",0
72,118,80,1849.83,"2021-10-12 15:20:05",0
73,272,77,1466.90,"2021-10-12 15:20:05",0
74,60,53,470.78,"2021-10-12 15:20:05",0
75,25,2,1032.25,"2021-10-12 15:20:05",0
76,106,65,145.16,"2021-10-12 15:20:05",0
77,280,49,222.05,"2021-10-12 15:20:05",0
78,231,43,537.12,"2021-10-12 15:20:05",0
79,29,42,471.09,"2021-10-12 15:20:05",0
80,240,54,634.76,"2021-10-12 15:20:05",0
81,125,93,257.15,"2021-10-12 15:20:05",0
82,207,18,1867.17,"2021-10-12 15:20:05",0
83,237,7,763.43,"2021-10-12 15:20:05",0
84,257,67,1805.44,"2021-10-12 15:20:05",0
85,271,58,1.46,"2021-10-12 15:20:05",0
86,242,38,1272.15,"2021-10-12 15:20:05",0
87,250,92,1887.74,"2021-10-12 15:20:05",0
88,192,100,800.13,"2021-10-12 15:20:05",0
89,273,27,1628.26,"2021-10-12 15:20:05",0
90,183,88,465.88,"2021-10-12 15:20:05",0
91,127,51,19.25,"2021-10-12 15:20:05",0
92,204,17,1457.83,"2021-10-12 15:20:05",0
93,84,62,925.51,"2021-10-12 15:20:05",0
94,98,13,363.36,"2021-10-12 15:20:05",0
95,71,98,1999.37,"2021-10-12 15:20:05",0
96,19,64,1305.61,"2021-10-12 15:20:05",0
97,41,69,51.36,"2021-10-12 15:20:05",0
98,154,44,521.87,"2021-10-12 15:20:05",0
99,187,33,628.20,"2021-10-12 15:20:05",0
100,255,82,60.50,"2021-10-12 15:20:05",0
101,  ,54,,"2021-10-12 15:20:05",0
102,345,54,89.3, "" ,0
